Recording,Timestamp,Duration,Speakers,Text,Tags,Comments,Reels,Category
2024-07-16_p05_rushhour_with_audio.mp4,00:02:06,00:00:02,,,raised brows,,,GAZE
2024-07-16_p05_knot_with_audio.mp4,00:02:15,00:00:01,,,"chin raise, lip corners depressed, raised brows",,,CHIN MOVEMENT
2024-07-18_p09_knot_with_audio.mp4,00:06:54,00:00:02,,,raised brows,,,GAZE
2024-07-18_p09_knot_with_audio.mp4,00:02:12,00:00:02,,,"look away, mouth open, raised brows, talking to self",,,SELF-VOCALIZATIONS
2024-07-17_p08_lego_with_audio.mp4,00:08:21,00:00:02,,,neck scratch,,,"GESTURE (hand, head movement)"
2024-07-17_p08_lego_with_audio.mp4,00:08:19,00:00:03,,,lip twist,,,LIP MOVEMENT
2024-07-17_p08_lego_with_audio.mp4,00:06:10,00:00:06,,,flip forward,,,MOMENTARY RESET
2024-07-17_p08_lego_with_audio.mp4,00:05:43,00:00:01,,,ends resting head on hand,,,"GESTURE (hand, head movement)"
2024-07-17_p08_lego_with_audio.mp4,00:05:30,00:00:02,,,starts resting head on hand,,,"GESTURE (hand, head movement)"
2024-07-17_p08_lego_with_audio.mp4,00:05:12,00:00:01,,,biting lip,,,LIP MOVEMENT
2024-07-17_p08_lego_with_audio.mp4,00:04:49,00:00:04,,,lip corners depressed,,,LIP MOVEMENT
2024-07-17_p08_lego_with_audio.mp4,00:04:08,00:00:01,,,touching nose,,,"GESTURE (hand, head movement)"
2024-07-17_p08_lego_with_audio.mp4,00:03:02,00:00:01,,,ends resting head on hand,,,"GESTURE (hand, head movement)"
2024-07-17_p08_lego_with_audio.mp4,00:02:17,00:00:01,,,starts resting head on hand,,,"GESTURE (hand, head movement)"
2024-07-17_p08_lego_with_audio.mp4,00:01:46,00:00:01,,,touching nose,,,"GESTURE (hand, head movement)"
2024-07-17_p08_lego_with_audio.mp4,00:01:00,00:00:01,,,"lip corners depressed, lip movement",,,LIP MOVEMENT
2024-07-17_p08_lego_with_audio.mp4,00:00:40,00:00:01,,,ends resting head on hand,,,"GESTURE (hand, head movement)"
2024-07-17_p08_lego_with_audio.mp4,00:00:34,00:00:01,,,starts resting head on hand,,,"GESTURE (hand, head movement)"
2024-07-15_p01_rushhour_with_audio.mp4,00:09:36,00:00:01,,,biting lip,,,LIP MOVEMENT
2024-07-15_p01_rushhour_with_audio.mp4,00:09:35,00:00:01,,,head tilt,,,FACE FIDGETING
2024-07-15_p01_rushhour_with_audio.mp4,00:09:30,00:00:01,,,head tilt,,,FACE FIDGETING
2024-07-15_p01_rushhour_with_audio.mp4,00:08:50,00:00:01,,,neck scratch,,,"GESTURE (hand, head movement)"
2024-07-15_p01_rushhour_with_audio.mp4,00:08:37,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-15_p01_rushhour_with_audio.mp4,00:08:40,00:00:01,,,touching eye,,,"GESTURE (hand, head movement)"
2024-07-15_p01_rushhour_with_audio.mp4,00:05:38,00:00:01,,,forehead scratch,,,FACE FIDGETING
2024-07-15_p01_rushhour_with_audio.mp4,00:04:57,00:00:01,,,head scratch,,,"GESTURE (hand, head movement)"
2024-07-15_p01_rushhour_with_audio.mp4,00:03:55,00:00:04,,,rubbing hands,,,"GESTURE (hand, head movement)"
2024-07-15_p01_rushhour_with_audio.mp4,00:03:46,00:00:02,,,touching pieces,,,"GESTURE (hand, head movement)"
2024-07-15_p01_rushhour_with_audio.mp4,00:03:22,00:00:02,,,touching hair,,,"GESTURE (hand, head movement)"
2024-07-15_p01_rushhour_with_audio.mp4,00:02:47,00:00:01,,,"blink, scrunch brows, clinch teeth",,,"GESTURE (hand, head movement)"
2024-07-15_p01_rushhour_with_audio.mp4,00:02:18,00:00:11,,,no movement,,,OTHER
2024-07-15_p01_rushhour_with_audio.mp4,00:02:09,00:00:01,,,"eyes widen, raised brows",,,GAZE
2024-07-15_p01_knot_with_audio.mp4,00:08:03,00:00:01,,,"clinch teeth, scrunch brows, lip corners depressed, chin tuck",,,CHIN MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:07:52,00:00:01,Speaker 1,,eyes widen,,,GAZE
2024-07-15_p01_knot_with_audio.mp4,00:07:44,00:00:01,Speaker 1,,lip corners raised,,,LIP MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:07:27,00:00:01,Speaker 1,,biting nails,,,OTHER
2024-07-15_p01_knot_with_audio.mp4,00:07:21,00:00:01,Speaker 1,,"clinch teeth, eyes widen",,,EMOTION EXPRESSION
2024-07-15_p01_knot_with_audio.mp4,00:07:15,00:00:01,Speaker 1,,"eyes widen, chin tuck, lip movement, clinch teeth",,,LIP MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:07:11,00:00:01,Speaker 1,,eyes widen,,,GAZE
2024-07-15_p01_knot_with_audio.mp4,00:06:58,00:00:01,Speaker 1,,"scrunch brows, wrinkle nose, chin tuck",,,CHIN MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:06:57,00:00:01,Speaker 1,,"eyes widen, lip corners raised",,,LIP MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:06:55,00:00:01,Speaker 1,,clinch teeth,,,FACE FIDGETING
2024-07-15_p01_knot_with_audio.mp4,00:06:46,00:00:01,Speaker 1,,"head shake, lip purse",,,EMOTION EXPRESSION
2024-07-15_p01_knot_with_audio.mp4,00:06:31,00:00:01,Speaker 1,,nose scratch,,,FACE FIDGETING
2024-07-15_p01_knot_with_audio.mp4,00:06:13,00:00:01,Speaker 1,,lip movement,,,LIP MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:06:07,00:00:01,Speaker 1,,clinch teeth,,,FACE FIDGETING
2024-07-15_p01_knot_with_audio.mp4,00:05:54,00:00:01,Speaker 1,,clinch teeth,,,FACE FIDGETING
2024-07-15_p01_knot_with_audio.mp4,00:05:44,00:00:01,Speaker 1,,"clinch teeth, eyes widen",,,EMOTION EXPRESSION
2024-07-15_p01_knot_with_audio.mp4,00:05:33,00:00:01,,,no movement,,,OTHER
2024-07-15_p01_knot_with_audio.mp4,00:05:17,00:00:01,,,"wrinkle nose, scrunch brows, lip movement",,,LIP MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:05:12,00:00:01,,,"furrowed brows, lip movement",,,LIP MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:04:58,00:00:01,,,reposition,,,OTHER
2024-07-15_p01_knot_with_audio.mp4,00:04:40,00:00:01,,,"clinch teeth, lip movement",,,LIP MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:04:34,00:00:01,,,"lip movement, eyes widen, chin tuck",,,LIP MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:04:27,00:00:01,,,touching nose,,,"GESTURE (hand, head movement)"
2024-07-15_p01_knot_with_audio.mp4,00:04:19,00:00:01,,,lip movement,,,LIP MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:04:10,00:00:01,,,"forehead scratch, neck scratch",,,"GESTURE (hand, head movement)"
2024-07-15_p01_knot_with_audio.mp4,00:04:09,00:00:01,,,raised brows,,,GAZE
2024-07-15_p01_knot_with_audio.mp4,00:04:07,00:00:01,,,"lip corners depressed, furrowed brows",,,FACE FIDGETING
2024-07-15_p01_knot_with_audio.mp4,00:04:02,00:00:01,,,"chin tuck, raised brows, lip movement",,,LIP MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:03:56,00:00:01,,,lip movement,,,LIP MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:03:55,00:00:01,,,head shake,,,"GESTURE (hand, head movement)"
2024-07-15_p01_knot_with_audio.mp4,00:03:43,00:00:01,,,lip movement,,,LIP MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:03:42,00:00:01,,,furrowed brows,,,FACE FIDGETING
2024-07-15_p01_knot_with_audio.mp4,00:03:30,00:00:01,,,lip lick,,,LIP MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:03:29,00:00:01,,,ear scratch,,,OTHER
2024-07-15_p01_knot_with_audio.mp4,00:03:25,00:00:01,,,head tilt,,,FACE FIDGETING
2024-07-15_p01_knot_with_audio.mp4,00:03:23,00:00:01,,,head tilt,,,FACE FIDGETING
2024-07-15_p01_knot_with_audio.mp4,00:03:11,00:00:01,,,"chin tuck, furrowed brows, lip movement",,,LIP MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:03:02,00:00:01,,,lip pout,,,LIP MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:02:53,00:00:01,,,"lip corners depressed, nose scratch",,,LIP MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:02:49,00:00:01,,,head tilt,,,FACE FIDGETING
2024-07-15_p01_knot_with_audio.mp4,00:02:43,00:00:01,,,"chin tuck, lip movement",,,LIP MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:02:33,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:02:27,00:00:01,,,lip corner raise,,,LIP MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:02:21,00:00:01,,,"chin tuck, lip corners depressed, furrowed brows",,,CHIN MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:02:15,00:00:01,,,blink,,,"GESTURE (hand, head movement)"
2024-07-15_p01_knot_with_audio.mp4,00:02:14,00:00:01,,,OTHER,,,OTHER
2024-07-15_p01_knot_with_audio.mp4,00:02:10,00:00:02,,,furrowed brows,,,FACE FIDGETING
2024-07-15_p01_knot_with_audio.mp4,00:02:07,00:00:02,,,"chin tuck, eyes widen, scrunch brows, lip purse",,,CHIN MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:01:49,00:00:01,,,"chin tuck, furrowed brows, lip pout",,,CHIN MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:01:41,00:00:01,,,posture shift,,,"GESTURE (hand, head movement)"
2024-07-15_p01_knot_with_audio.mp4,00:01:40,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:01:27,00:00:01,,,"lip movement, furrowed brows",,,LIP MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:01:21,00:00:01,,,"chin tuck, lip corners depressed",,,CHIN MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:01:16,00:00:01,,,"wrinkle nose, chin tuck",,,CHIN MOVEMENT
2024-07-15_p01_knot_with_audio.mp4,00:01:14,00:00:01,,,head tilt,,,FACE FIDGETING
2024-07-15_p01_knot_with_audio.mp4,00:01:15,00:00:01,,,OTHER,,,OTHER
2024-07-15_p01_knot_with_audio.mp4,00:01:09,00:00:01,,,head tilt,,,FACE FIDGETING
2024-07-15_p01_knot_with_audio.mp4,00:00:58,00:00:02,,,"face scratch, lip purse",,,FACE FIDGETING
2024-07-15_p01_knot_with_audio.mp4,00:00:49,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-18_p10_knot_with_audio.mp4,00:06:41,00:00:01,,,flip back,,,OTHER
2024-07-16_p06_tangrams_with_audio.mp4,00:10:13,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-16_p06_tangrams_with_audio.mp4,00:10:10,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-16_p06_tangrams_with_audio.mp4,00:08:47,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-16_p06_tangrams_with_audio.mp4,00:08:40,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-16_p06_tangrams_with_audio.mp4,00:08:38,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-16_p06_tangrams_with_audio.mp4,00:08:34,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-16_p06_tangrams_with_audio.mp4,00:07:36,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-16_p06_tangrams_with_audio.mp4,00:07:30,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-16_p06_tangrams_with_audio.mp4,00:07:02,00:00:01,,,starts resting head on hand,,,"GESTURE (hand, head movement)"
2024-07-16_p06_tangrams_with_audio.mp4,00:06:59,00:00:01,,,head scratch,,,"GESTURE (hand, head movement)"
2024-07-16_p06_tangrams_with_audio.mp4,00:06:42,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-16_p06_tangrams_with_audio.mp4,00:06:30,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-16_p06_tangrams_with_audio.mp4,00:06:32,00:00:01,,,OTHER,,,OTHER
2024-07-16_p06_tangrams_with_audio.mp4,00:06:13,00:00:01,,,"lean back, touching face",,,"GESTURE (hand, head movement)"
2024-07-16_p06_tangrams_with_audio.mp4,00:06:03,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-16_p06_tangrams_with_audio.mp4,00:06:00,00:00:01,,,lip corner raise,,,LIP MOVEMENT
2024-07-16_p06_tangrams_with_audio.mp4,00:05:57,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-16_p06_tangrams_with_audio.mp4,00:05:44,00:00:01,,,head tilt,,,FACE FIDGETING
2024-07-16_p06_tangrams_with_audio.mp4,00:05:17,00:00:02,,,touching eye,,,"GESTURE (hand, head movement)"
2024-07-16_p06_tangrams_with_audio.mp4,00:05:10,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-16_p06_tangrams_with_audio.mp4,00:04:57,00:00:01,,,head tilt,,,FACE FIDGETING
2024-07-16_p06_tangrams_with_audio.mp4,00:04:48,00:00:01,,,nose scratch,,,FACE FIDGETING
2024-07-16_p06_tangrams_with_audio.mp4,00:04:34,00:00:01,,,lip corner raise,,,LIP MOVEMENT
2024-07-16_p06_tangrams_with_audio.mp4,00:03:02,00:00:01,,,OTHER,,,OTHER
2024-07-16_p06_tangrams_with_audio.mp4,00:02:48,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-16_p06_tangrams_with_audio.mp4,00:02:12,00:00:01,,,lip movement,,,LIP MOVEMENT
2024-07-16_p06_tangrams_with_audio.mp4,00:01:53,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-16_p06_tangrams_with_audio.mp4,00:01:31,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-16_p06_tangrams_with_audio.mp4,00:01:23,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-16_p06_tangrams_with_audio.mp4,00:01:16,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-16_p06_tangrams_with_audio.mp4,00:01:03,00:00:02,,,head tilt,,,FACE FIDGETING
2024-07-16_p06_tangrams_with_audio.mp4,00:00:48,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-18_p09_origami_with_audio.mp4,00:01:37,00:00:02,,,turning manual,,,MANUAL ACTIONS
2024-07-18_p10_origami_with_audio.mp4,00:02:30,00:00:01,,,head bow,,,"GESTURE (hand, head movement)"
2024-07-18_p10_origami_with_audio.mp4,00:02:19,00:00:02,,,lean forward,,,GENERAL POSTURE
2024-07-18_p10_origami_with_audio.mp4,00:01:47,00:00:01,,,flip forward,,,MOMENTARY RESET
2024-07-18_p10_rushhour_with_audio.mp4,00:09:46,00:00:01,,,OTHER,,,OTHER
2024-07-18_p10_rushhour_with_audio.mp4,00:09:06,00:00:01,,,head bow,,,"GESTURE (hand, head movement)"
2024-07-18_p10_rushhour_with_audio.mp4,00:08:18,00:00:02,,,"finger tapping, lip purse",,,LIP MOVEMENT
2024-07-18_p10_rushhour_with_audio.mp4,00:08:16,00:00:02,,,neck scratch,,,"GESTURE (hand, head movement)"
2024-07-18_p10_rushhour_with_audio.mp4,00:07:23,00:00:01,,,"posture reset, finger tapping, disengage",,,LIP MOVEMENT
2024-07-18_p10_rushhour_with_audio.mp4,00:07:01,00:00:04,,,touching pieces,,,"GESTURE (hand, head movement)"
2024-07-18_p10_rushhour_with_audio.mp4,00:07:00,00:00:01,,,look away,,,OTHER
2024-07-18_p10_rushhour_with_audio.mp4,00:06:53,00:00:01,,,nose scratch,,,FACE FIDGETING
2024-07-18_p10_rushhour_with_audio.mp4,00:06:25,00:00:02,,,touching pieces,,,"GESTURE (hand, head movement)"
2024-07-18_p10_rushhour_with_audio.mp4,00:06:05,00:00:02,,,touching pieces,,,"GESTURE (hand, head movement)"
2024-07-18_p10_rushhour_with_audio.mp4,00:04:29,00:00:03,,,touching pieces,,,"GESTURE (hand, head movement)"
2024-07-18_p10_rushhour_with_audio.mp4,00:02:27,00:00:01,,,touching pieces,,,"GESTURE (hand, head movement)"
2024-07-16_p06_lego_with_audio.mp4,00:09:27,00:00:01,,,facial twitch,,,FACE FIDGETING
2024-07-16_p06_lego_with_audio.mp4,00:09:01,00:00:01,,,"lip movement, lip corner raise, lip purse",,,LIP MOVEMENT
2024-07-16_p06_lego_with_audio.mp4,00:08:45,00:00:01,,,"lip movement, lip purse",,,LIP MOVEMENT
2024-07-16_p06_lego_with_audio.mp4,00:08:23,00:00:01,,,lip movement,,,LIP MOVEMENT
2024-07-16_p06_lego_with_audio.mp4,00:08:18,00:00:01,,,"lip corner raise, lip movement",,,LIP MOVEMENT
2024-07-16_p06_lego_with_audio.mp4,00:07:12,00:00:01,,,OTHER,,,OTHER
2024-07-16_p06_lego_with_audio.mp4,00:06:59,00:00:01,,,"lip movement, lip purse",,,LIP MOVEMENT
2024-07-16_p06_lego_with_audio.mp4,00:06:38,00:00:01,,,"lip movement, lip purse",,,LIP MOVEMENT
2024-07-16_p06_lego_with_audio.mp4,00:06:29,00:00:02,,,lip corner raise,,,LIP MOVEMENT
2024-07-16_p06_lego_with_audio.mp4,00:06:18,00:00:01,,,"lip corner raise, lip movement",,,LIP MOVEMENT
2024-07-16_p06_lego_with_audio.mp4,00:06:12,00:00:02,,,"lip purse, lip movement",,,LIP MOVEMENT
2024-07-16_p06_lego_with_audio.mp4,00:06:06,00:00:01,,,lip corner raise,,,LIP MOVEMENT
2024-07-16_p06_lego_with_audio.mp4,00:06:00,00:00:01,,,lip corner raise,,,LIP MOVEMENT
2024-07-16_p06_lego_with_audio.mp4,00:05:50,00:00:01,,,lip pout,,,LIP MOVEMENT
2024-07-16_p06_lego_with_audio.mp4,00:05:45,00:00:01,,,facial twitch,,,FACE FIDGETING
2024-07-16_p06_lego_with_audio.mp4,00:05:43,00:00:01,,,"lip corner raise, lip narrow, lip purse, lip movement",,,LIP MOVEMENT
2024-07-16_p06_lego_with_audio.mp4,00:05:40,00:00:01,,,lip corner raise,,,LIP MOVEMENT
2024-07-16_p06_lego_with_audio.mp4,00:05:31,00:00:01,,,"lip narrow, lip movement",,,LIP MOVEMENT
2024-07-16_p06_lego_with_audio.mp4,00:05:26,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-16_p06_lego_with_audio.mp4,00:05:14,00:00:01,,,"lip twist, lip movement, facial twitch",,,LIP MOVEMENT
2024-07-16_p06_lego_with_audio.mp4,00:05:07,00:00:01,,,facial twitch,,,FACE FIDGETING
2024-07-16_p06_lego_with_audio.mp4,00:05:05,00:00:01,,,"lip movement, lip purse",,,LIP MOVEMENT
2024-07-16_p06_lego_with_audio.mp4,00:05:01,00:00:01,,,"lip corner raise, lip movement",,,LIP MOVEMENT
2024-07-16_p06_lego_with_audio.mp4,00:04:58,00:00:01,,,lip movement,,,LIP MOVEMENT
2024-07-16_p06_lego_with_audio.mp4,00:04:54,00:00:01,,,lip purse,,,LIP MOVEMENT
2024-07-16_p06_lego_with_audio.mp4,00:04:48,00:00:01,,,lip corner raise,,,LIP MOVEMENT
