"Recording","Timestamp","Duration","Speakers","Text","Tags","Comments","Reels"
"2024-07-19_p11_tangrams_with_audio.mp4","00:08:17","00:00:42","","","#green","""intervention"" (sl3326@cornell.edu)",""
"2024-07-19_p11_tangrams_with_audio.mp4","00:06:22","00:00:01","","","#green","""intervention"" (sl3326@cornell.edu)",""
"2024-07-19_p11_tangrams_with_audio.mp4","00:05:04","00:00:16","","","#green","""intervention"" (sl3326@cornell.edu)",""
"2024-07-19_p11_tangrams_with_audio.mp4","00:04:15","00:00:31","","","#green","""intervention"" (sl3326@cornell.edu)",""
"2024-07-18_p10_rushhour_with_audio.mp4","00:09:08","00:00:01","","","#green","""intervention"" (sl3326@cornell.edu)",""
"2024-07-18_p09_rushhour_with_audio.mp4","00:08:28","00:00:01","","","#green","""intervention"" (sl3326@cornell.edu)",""
"2024-07-17_p08_lego_with_audio.mp4","00:04:49","00:00:54","","","#green","""intervention"" (sl3326@cornell.edu)",""
"2024-07-17_p08_tangrams_with_audio.mp4","00:07:54","00:00:07","","","#green","""intervention"" (sl3326@cornell.edu)",""
"2024-07-17_p08_tangrams_with_audio.mp4","00:07:22","00:00:01","","","#green","""intervention"" (sl3326@cornell.edu)",""
"2024-07-17_p08_tangrams_with_audio.mp4","00:06:25","00:00:08","","","#green","""intervention"" (sl3326@cornell.edu)",""
"2024-07-17_p08_tangrams_with_audio.mp4","00:05:03","00:00:10","","","#green","""intervention"" (sl3326@cornell.edu)",""
"2024-07-17_p08_tangrams_with_audio.mp4","00:02:57","00:00:08","","","#green","""intervention"" (sl3326@cornell.edu)",""
"2024-07-17_p07_origami_with_audio.mp4","00:04:34","00:00:30","","","#green","""intervention"" (sl3326@cornell.edu)",""
"2024-07-17_p07_rushhour_with_audio.mp4","00:09:23","00:00:09","","","#green","""intervention"" (sl3326@cornell.edu)",""
"2024-07-17_p07_rushhour_with_audio.mp4","00:08:02","00:00:33","","","#green","""intervention"" (sl3326@cornell.edu)",""
"2024-07-17_p07_rushhour_with_audio.mp4","00:07:14","00:00:13","","","#green","""intervention"" (sl3326@cornell.edu)",""
"2024-07-16_p04_knot_with_audio.mp4","00:08:40","00:00:01","","","#green","""intervention"" (sl3326@cornell.edu)",""
"2024-07-16_p04_knot_with_audio.mp4","00:07:32","00:00:01","","","#green","""intervention"" (sl3326@cornell.edu)",""
